"Number","BaseUrl","MainConentTag","HighestFreqTagSetS","FrequencyCount","MainContentScore","DepthMainContentinDOMTree"
"98","http://www.huffingtonpost.com/entry/plastic-pollution-what-you-can-do_us_5b50e369e4b0b15aba8cd8a1","div","div","7","1.020058035850525","8","article"
"99","http://www.huffingtonpost.com/entry/ryan-zinke-growing-scandals_us_5b5496f2e4b0fd5c73c65990","div","div","25","1.0360382795333862","8","article"
"100","http://www.huffingtonpost.com/entry/trump-epa-california-waiver-automakers_us_5b63110be4b0de86f49eb568","div","div","12","1.073144793510437","8","article"
"101","http://www.huffingtonpost.com/entry/opinion-gleick-new-york-times-climate-change_us_5b61fafbe4b0b15aba9f3959","div","div","6","1.003697156906128","8","article"
"102","https://abcnews.go.com/Sports/kansas-city-chiefs-fan-charged-shining-laser-patriots/story?id=62290314","ul","li","7","0.9910060167312622","13","article"
"103","https://abcnews.go.com/US/federal-court-blocks-mississippis-fetal-heartbeat-law-taking/story?id=63264206","div","p","5","1.0220723152160645","11","article"
"104","https://abcnews.go.com/US/man-abducted-13-year-jayme-closs-sentenced/story?id=63213591","div","p","4","1.0593055486679077","11","article"
"105","https://abcnews.go.com/US/patrick-frazee-pleads-guilty-murder-fianc-kelsey-berreth/story?id=61503105","div","p","3","1.0187608003616333","11","article"
"106","https://abcnews.go.com/US/year-boy-swept-flooded-creek-indiana-desperate-search/story?id=63252005","div","p","3","0.9980586171150208","11","article"
"107","https://abcnews.go.com/International/wireStory/yemens-president-letter-chief-criticizes-envoy-63250123","div","p","11","0.9989869594573975","11","article"
"108","https://abcnews.go.com/US/stormy-weather-awaits-plains-midwest-memorial-day-weekend/story?id=63249834","div","p","3","0.9966588020324707","11","article"
"109","https://abcnews.go.com/US/oregon-state-college-student-falls-death-cliff-taking/story?id=63246641","div","p","3","1.0035237073898315","11","article"
"110","https://abcnews.go.com/Sports/family-member-extort-nfl-star-tyrann-mathieu-million/story?id=63193064","div","p","4","1.019430160522461","11","article"
"111","https://abcnews.go.com/Politics/house-judiciary-chairman-jerry-nadler-appears-faint-york/story?id=63258876","div","p","3","0.9913277626037598","11","article"
"112","https://abcnews.go.com/US/beverage-magnate-pleaded-guilty-college-admissions-scandal-assaulted/story?id=63255490","div","p","6","1.0081275701522827","11","article"
"113","https://abcnews.go.com/Politics/trump-administration-rolls-back-obama-era-protection-transgender/story?id=63254875","div","p","8","1.0106487274169922","11","article"
"114","https://abcnews.go.com/Politics/family-separations-occur-times-day-acting-homeland-security/story?id=63236385","div","div","2","0.9951543807983398","11","article"
"115","https://abcnews.go.com/US/missouri-governor-signs-sweeping-abortion-bill-week-ban/story?id=63256446","div","p","2","0.9963034987449646","11","article"
"116","https://abcnews.go.com/International/wireStory/afghan-police-official-blast-kabul-mosque-kills-63249530","div","p","6","0.994713544845581","11","article"
"117","https://abcnews.go.com/Sports/tiger-woods-named-wrongful-death-lawsuit-family-man/story?id=63037526","ul","li","7","0.9909312725067139","13","article"
"118","https://abcnews.go.com/Sports/us-soccer-fires-back-lawsuit-womens-team-obligations/story?id=62880911","div","p","4","1.0199018716812134","11","article"
"119","https://www.cnn.com/2019/05/23/politics/robocalls-congress-bill-passed/index.html","div","div","10","1.0024794340133667","11","article"
"120","https://www.cnn.com/2019/05/21/health/climate-change-sea-levels-scn-intl/index.html","div","div","13","1.0036159753799438","11","article"
"121","https://www.cnn.com/2019/05/12/middleeast/mina-mangal-killed-kabul-intl/index.html","div","div","8","1.0000944137573242","11","article"
"122","https://www.cnn.com/2019/05/21/health/vienna-beef-hot-dog-recall-usda-trnd-bn/index.html","ul","li","11","0.9910295009613037","9","article"
"123","https://www.cnn.com/2018/11/05/health/national-health-service-prevention-not-cure-intl/index.html","div","div","14","1.0138635635375977","11","article"
"124","https://www.cnn.com/2019/05/15/health/philadelphia-soda-tax-sales-decrease/index.html","ul","li","11","0.9909316301345825","9","article"
"125","https://www.cnn.com/2019/05/21/health/judge-approves-west-point-cadet-order/index.html","ul","li","11","0.9909027814865112","9","article"
"126","https://www.cnn.com/2019/05/24/asia/everest-climbers-intl/index.html","div","div","9","0.9938027262687683","11","article"
"127","https://www.cnn.com/2019/05/21/asia/japan-name-abe-shinzo-intl/index.html","div","div","11","0.9995512366294861","11","article"
"128","https://www.cnn.com/2019/05/21/health/iyw-custodian-day-trnd/index.html","div","div","10","1.0014612674713135","11","article"
"129","https://www.cnn.com/2019/05/13/africa/where-is-kenyatta-intl/index.html","ul","li","11","0.9911277890205383","9","article"
"130","https://www.cnn.com/2019/05/03/asia/elderly-australian-couple-meth-haul-intl-trnd/index.html","ul","li","11","0.9912087917327881","9","article"
"131","https://www.cnn.com/2019/05/17/africa/germany-to-return-namibia-art-scli-intl/index.html","ul","li","11","0.99187171459198","9","article"
"132","https://www.cnn.com/style/article/australia-indigenous-language-coin-intl/index.html","div","div","10","1.0000985860824585","12","article"
